danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.43,0.682,2,-10.267,1,0.0314,0.0534,0.00329,0.142,0.693,122.304,302493,2
0.562,0.721,7,-6.043,1,0.0396,3.03e-05,0.000329,0.0327,0.649,66.503,193281,1
0.611,0.794,2,-3.466,1,0.349,0.0302,0.0,0.338,0.837,97.558,158907,1
0.611,0.231,7,-9.48,1,0.0377,0.794,0.0,0.938,0.165,99.567,220200,3
0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,0
0.737,0.828,11,-4.711,1,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474,3
0.817,0.647,5,-5.871,0,0.061,0.0163,0.251,0.275,0.539,143.583,187987,1
0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051,1
0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,3
0.834,0.58,1,-6.16,1,0.0356,0.00753,0.00297,0.201,0.432,126.017,194286,5
0.692,0.443,1,-5.671,1,0.0386,0.214,0.0,0.06,0.363,127.899,178800,0
0.612,0.77,9,-5.49,0,0.0319,0.234,0.0,0.0563,0.627,126.656,277360,4
0.77,0.55,9,-6.042,1,0.145,0.645,0.0005,0.26,0.421,159.911,189250,1
0.847,0.736,1,-4.542,1,0.266,0.0532,0.000142,0.0302,0.876,160.012,171000,3
0.809,0.808,6,-2.877,0,0.157,0.0808,0.0,0.347,0.763,91.952,289373,4
0.725,0.915,8,-5.188,0,0.111,0.000485,0.763,0.0688,0.0593,127.982,330938,5
0.901,0.359,10,-8.198,0,0.248,0.00956,0.0,0.0752,0.219,149.019,220467,1
0.802,0.834,11,-8.479,0,0.0718,0.00561,0.023,0.103,0.78,108.308,264147,4
0.377,0.92,4,-4.095,1,0.148,0.000101,0.0,0.119,0.475,194.969,204802,2
0.779,0.695,1,-6.064,0,0.031,0.425,0.000769,0.107,0.392,120.004,163527,0
0.81,0.305,8,-6.165,0,0.0902,0.28,0.000116,0.203,0.732,120.013,171908,0
0.798,0.553,9,-11.544,1,0.0643,0.382,0.0,0.0806,0.392,100.053,139200,1
0.568,0.946,6,-5.092,0,0.0512,0.00102,0.00428,0.294,0.615,109.94,194853,2
0.707,0.617,6,-12.519,1,0.303,0.22,0.00018,0.13,0.594,96.051,273320,1
0.432,0.74,7,-5.053,1,0.062,0.0342,6.59e-06,0.14,0.193,139.42,242520,0
0.806,0.929,10,-3.017,1,0.121,0.263,0.0,0.0622,0.602,97.99,232373,3
0.796,0.907,7,-1.908,0,0.0746,0.00329,0.142,0.226,0.0624,128.037,206323,5
0.752,0.722,0,-7.507,0,0.207,0.0263,0.00396,0.0644,0.557,119.834,230507,5
0.628,0.737,7,-4.437,1,0.041,0.0625,0.0,0.0777,0.592,91.507,185194,5
0.394,0.301,0,-9.267,0,0.152,0.793,0.00106,0.0934,0.0576,81.205,202652,0
0.731,0.96,11,-4.453,0,0.0714,0.00389,0.0322,0.00936,0.61,140.014,267253,1
0.386,0.916,2,-5.955,1,0.0741,0.105,0.00991,0.325,0.775,135.642,238107,2
0.501,0.683,1,-4.261,0,0.0651,0.178,2.7e-06,0.385,0.319,154.901,202839,5
0.647,0.533,10,-13.254,0,0.337,0.227,0.0,0.3,0.376,150.103,162493,1
0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,0
0.602,0.751,1,-4.358,1,0.327,0.173,0.0,0.667,0.934,163.874,196745,1
